id,template,slipsense,mappedscale,faultage,sliprate,sentence
13,known_age,normal,"1:10,000","<130,000",<0.2 mm/yr,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:10,000 scale. Geologic studies have determined that the fault has had movement in the last <130,000 years and has a slip rate of <0.2 mm/yr."
14,known_age,normal,"1:10,000","<130,000",0.2 - 1 mm/yr,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:10,000 scale. Geologic studies have determined that the fault has had movement in the last <130,000 years and has a slip rate of 0.2 - 1 mm/yr."
15,known_age,normal,"1:10,000","<130,000",1 - 5 mm/yr,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:10,000 scale. Geologic studies have determined that the fault has had movement in the last <130,000 years and has a slip rate of 1 - 5 mm/yr."
16,known_age,normal,"1:10,000","<130,000",unspecified,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:10,000 scale. Geologic studies have determined that the fault has had movement in the last <130,000 years and has a slip rate of unspecified."
17,known_age,normal,"1:10,000","<130,000",Undetermined,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:10,000 scale. Geologic studies have determined that the fault has had movement in the last <130,000 years and has a slip rate of Undetermined."
18,known_age,normal,"1:10,000","<130,000",>5 mm/yr,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:10,000 scale. Geologic studies have determined that the fault has had movement in the last <130,000 years and has a slip rate of >5 mm/yr."
19,known_age,normal,"1:10,000","<750,000",<0.2 mm/yr,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:10,000 scale. Geologic studies have determined that the fault has had movement in the last <750,000 years and has a slip rate of <0.2 mm/yr."
20,known_age,normal,"1:10,000","<750,000",0.2 - 1 mm/yr,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:10,000 scale. Geologic studies have determined that the fault has had movement in the last <750,000 years and has a slip rate of 0.2 - 1 mm/yr."
21,known_age,normal,"1:10,000","<750,000",1 - 5 mm/yr,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:10,000 scale. Geologic studies have determined that the fault has had movement in the last <750,000 years and has a slip rate of 1 - 5 mm/yr."
22,known_age,normal,"1:10,000","<750,000",unspecified,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:10,000 scale. Geologic studies have determined that the fault has had movement in the last <750,000 years and has a slip rate of unspecified."
23,known_age,normal,"1:10,000","<750,000",Undetermined,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:10,000 scale. Geologic studies have determined that the fault has had movement in the last <750,000 years and has a slip rate of Undetermined."
24,known_age,normal,"1:10,000","<750,000",>5 mm/yr,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:10,000 scale. Geologic studies have determined that the fault has had movement in the last <750,000 years and has a slip rate of >5 mm/yr."
25,undetermined_age,normal,"1:10,000",undetermined,,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:10,000 scale. Geologic studies have not determined the age or slip rate of the fault."
26,known_age,normal,"1:10,000",<150,<0.2 mm/yr,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:10,000 scale. Geologic studies have determined that the fault has had movement in the last <150 years and has a slip rate of <0.2 mm/yr."
27,known_age,normal,"1:10,000",<150,0.2 - 1 mm/yr,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:10,000 scale. Geologic studies have determined that the fault has had movement in the last <150 years and has a slip rate of 0.2 - 1 mm/yr."
28,known_age,normal,"1:10,000",<150,1 - 5 mm/yr,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:10,000 scale. Geologic studies have determined that the fault has had movement in the last <150 years and has a slip rate of 1 - 5 mm/yr."
29,known_age,normal,"1:10,000",<150,unspecified,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:10,000 scale. Geologic studies have determined that the fault has had movement in the last <150 years and has a slip rate of unspecified."
30,known_age,normal,"1:10,000",<150,Undetermined,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:10,000 scale. Geologic studies have determined that the fault has had movement in the last <150 years and has a slip rate of Undetermined."
31,known_age,normal,"1:10,000",<150,>5 mm/yr,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:10,000 scale. Geologic studies have determined that the fault has had movement in the last <150 years and has a slip rate of >5 mm/yr."
32,known_age,normal,"1:24,000","<15,000",<0.2 mm/yr,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:24,000 scale. Geologic studies have determined that the fault has had movement in the last <15,000 years and has a slip rate of <0.2 mm/yr."
33,known_age,normal,"1:24,000","<15,000",0.2 - 1 mm/yr,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:24,000 scale. Geologic studies have determined that the fault has had movement in the last <15,000 years and has a slip rate of 0.2 - 1 mm/yr."
34,known_age,normal,"1:24,000","<15,000",1 - 5 mm/yr,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:24,000 scale. Geologic studies have determined that the fault has had movement in the last <15,000 years and has a slip rate of 1 - 5 mm/yr."
35,known_age,normal,"1:24,000","<15,000",unspecified,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:24,000 scale. Geologic studies have determined that the fault has had movement in the last <15,000 years and has a slip rate of unspecified."
36,known_age,normal,"1:24,000","<15,000",Undetermined,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:24,000 scale. Geologic studies have determined that the fault has had movement in the last <15,000 years and has a slip rate of Undetermined."
37,known_age,normal,"1:24,000","<15,000",>5 mm/yr,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:24,000 scale. Geologic studies have determined that the fault has had movement in the last <15,000 years and has a slip rate of >5 mm/yr."
38,known_age,normal,"1:24,000","<2,600,000",<0.2 mm/yr,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:24,000 scale. Geologic studies have determined that the fault has had movement in the last <2,600,000 years and has a slip rate of <0.2 mm/yr."
39,known_age,normal,"1:24,000","<2,600,000",0.2 - 1 mm/yr,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:24,000 scale. Geologic studies have determined that the fault has had movement in the last <2,600,000 years and has a slip rate of 0.2 - 1 mm/yr."
40,known_age,normal,"1:24,000","<2,600,000",1 - 5 mm/yr,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:24,000 scale. Geologic studies have determined that the fault has had movement in the last <2,600,000 years and has a slip rate of 1 - 5 mm/yr."
41,known_age,normal,"1:24,000","<2,600,000",unspecified,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:24,000 scale. Geologic studies have determined that the fault has had movement in the last <2,600,000 years and has a slip rate of unspecified."
42,known_age,normal,"1:24,000","<2,600,000",Undetermined,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:24,000 scale. Geologic studies have determined that the fault has had movement in the last <2,600,000 years and has a slip rate of Undetermined."
43,known_age,normal,"1:24,000","<2,600,000",>5 mm/yr,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:24,000 scale. Geologic studies have determined that the fault has had movement in the last <2,600,000 years and has a slip rate of >5 mm/yr."
44,known_age,normal,"1:24,000","<130,000",<0.2 mm/yr,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:24,000 scale. Geologic studies have determined that the fault has had movement in the last <130,000 years and has a slip rate of <0.2 mm/yr."
45,known_age,normal,"1:24,000","<130,000",0.2 - 1 mm/yr,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:24,000 scale. Geologic studies have determined that the fault has had movement in the last <130,000 years and has a slip rate of 0.2 - 1 mm/yr."
46,known_age,normal,"1:24,000","<130,000",1 - 5 mm/yr,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:24,000 scale. Geologic studies have determined that the fault has had movement in the last <130,000 years and has a slip rate of 1 - 5 mm/yr."
47,known_age,normal,"1:24,000","<130,000",unspecified,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:24,000 scale. Geologic studies have determined that the fault has had movement in the last <130,000 years and has a slip rate of unspecified."
48,known_age,normal,"1:24,000","<130,000",Undetermined,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:24,000 scale. Geologic studies have determined that the fault has had movement in the last <130,000 years and has a slip rate of Undetermined."
49,known_age,normal,"1:24,000","<130,000",>5 mm/yr,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:24,000 scale. Geologic studies have determined that the fault has had movement in the last <130,000 years and has a slip rate of >5 mm/yr."
50,known_age,normal,"1:24,000","<750,000",<0.2 mm/yr,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:24,000 scale. Geologic studies have determined that the fault has had movement in the last <750,000 years and has a slip rate of <0.2 mm/yr."
51,known_age,normal,"1:24,000","<750,000",0.2 - 1 mm/yr,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:24,000 scale. Geologic studies have determined that the fault has had movement in the last <750,000 years and has a slip rate of 0.2 - 1 mm/yr."
52,known_age,normal,"1:24,000","<750,000",1 - 5 mm/yr,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:24,000 scale. Geologic studies have determined that the fault has had movement in the last <750,000 years and has a slip rate of 1 - 5 mm/yr."
53,known_age,normal,"1:24,000","<750,000",unspecified,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:24,000 scale. Geologic studies have determined that the fault has had movement in the last <750,000 years and has a slip rate of unspecified."
54,known_age,normal,"1:24,000","<750,000",Undetermined,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:24,000 scale. Geologic studies have determined that the fault has had movement in the last <750,000 years and has a slip rate of Undetermined."
55,known_age,normal,"1:24,000","<750,000",>5 mm/yr,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:24,000 scale. Geologic studies have determined that the fault has had movement in the last <750,000 years and has a slip rate of >5 mm/yr."
56,undetermined_age,normal,"1:24,000",undetermined,,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:24,000 scale. Geologic studies have not determined the age or slip rate of the fault."
57,known_age,normal,"1:24,000",<150,<0.2 mm/yr,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:24,000 scale. Geologic studies have determined that the fault has had movement in the last <150 years and has a slip rate of <0.2 mm/yr."
58,known_age,normal,"1:24,000",<150,0.2 - 1 mm/yr,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:24,000 scale. Geologic studies have determined that the fault has had movement in the last <150 years and has a slip rate of 0.2 - 1 mm/yr."
59,known_age,normal,"1:24,000",<150,1 - 5 mm/yr,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:24,000 scale. Geologic studies have determined that the fault has had movement in the last <150 years and has a slip rate of 1 - 5 mm/yr."
60,known_age,normal,"1:24,000",<150,unspecified,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:24,000 scale. Geologic studies have determined that the fault has had movement in the last <150 years and has a slip rate of unspecified."
61,known_age,normal,"1:24,000",<150,Undetermined,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:24,000 scale. Geologic studies have determined that the fault has had movement in the last <150 years and has a slip rate of Undetermined."
62,known_age,normal,"1:24,000",<150,>5 mm/yr,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:24,000 scale. Geologic studies have determined that the fault has had movement in the last <150 years and has a slip rate of >5 mm/yr."
63,known_age,normal,"1:100,000","<15,000",<0.2 mm/yr,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:100,000 scale. Geologic studies have determined that the fault has had movement in the last <15,000 years and has a slip rate of <0.2 mm/yr."
64,known_age,normal,"1:100,000","<15,000",0.2 - 1 mm/yr,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:100,000 scale. Geologic studies have determined that the fault has had movement in the last <15,000 years and has a slip rate of 0.2 - 1 mm/yr."
65,known_age,normal,"1:100,000","<15,000",1 - 5 mm/yr,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:100,000 scale. Geologic studies have determined that the fault has had movement in the last <15,000 years and has a slip rate of 1 - 5 mm/yr."
66,known_age,normal,"1:100,000","<15,000",unspecified,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:100,000 scale. Geologic studies have determined that the fault has had movement in the last <15,000 years and has a slip rate of unspecified."
67,known_age,normal,"1:100,000","<15,000",Undetermined,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:100,000 scale. Geologic studies have determined that the fault has had movement in the last <15,000 years and has a slip rate of Undetermined."
68,known_age,normal,"1:100,000","<15,000",>5 mm/yr,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:100,000 scale. Geologic studies have determined that the fault has had movement in the last <15,000 years and has a slip rate of >5 mm/yr."
69,known_age,normal,"1:100,000","<2,600,000",<0.2 mm/yr,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:100,000 scale. Geologic studies have determined that the fault has had movement in the last <2,600,000 years and has a slip rate of <0.2 mm/yr."
70,known_age,normal,"1:100,000","<2,600,000",0.2 - 1 mm/yr,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:100,000 scale. Geologic studies have determined that the fault has had movement in the last <2,600,000 years and has a slip rate of 0.2 - 1 mm/yr."
71,known_age,normal,"1:100,000","<2,600,000",1 - 5 mm/yr,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:100,000 scale. Geologic studies have determined that the fault has had movement in the last <2,600,000 years and has a slip rate of 1 - 5 mm/yr."
72,known_age,normal,"1:100,000","<2,600,000",unspecified,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:100,000 scale. Geologic studies have determined that the fault has had movement in the last <2,600,000 years and has a slip rate of unspecified."
73,known_age,normal,"1:100,000","<2,600,000",Undetermined,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:100,000 scale. Geologic studies have determined that the fault has had movement in the last <2,600,000 years and has a slip rate of Undetermined."
74,known_age,normal,"1:100,000","<2,600,000",>5 mm/yr,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:100,000 scale. Geologic studies have determined that the fault has had movement in the last <2,600,000 years and has a slip rate of >5 mm/yr."
75,known_age,normal,"1:100,000","<130,000",<0.2 mm/yr,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:100,000 scale. Geologic studies have determined that the fault has had movement in the last <130,000 years and has a slip rate of <0.2 mm/yr."
76,known_age,normal,"1:100,000","<130,000",0.2 - 1 mm/yr,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:100,000 scale. Geologic studies have determined that the fault has had movement in the last <130,000 years and has a slip rate of 0.2 - 1 mm/yr."
77,known_age,normal,"1:100,000","<130,000",1 - 5 mm/yr,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:100,000 scale. Geologic studies have determined that the fault has had movement in the last <130,000 years and has a slip rate of 1 - 5 mm/yr."
78,known_age,normal,"1:100,000","<130,000",unspecified,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:100,000 scale. Geologic studies have determined that the fault has had movement in the last <130,000 years and has a slip rate of unspecified."
79,known_age,normal,"1:100,000","<130,000",Undetermined,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:100,000 scale. Geologic studies have determined that the fault has had movement in the last <130,000 years and has a slip rate of Undetermined."
80,known_age,normal,"1:100,000","<130,000",>5 mm/yr,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:100,000 scale. Geologic studies have determined that the fault has had movement in the last <130,000 years and has a slip rate of >5 mm/yr."
81,known_age,normal,"1:100,000","<750,000",<0.2 mm/yr,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:100,000 scale. Geologic studies have determined that the fault has had movement in the last <750,000 years and has a slip rate of <0.2 mm/yr."
82,known_age,normal,"1:100,000","<750,000",0.2 - 1 mm/yr,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:100,000 scale. Geologic studies have determined that the fault has had movement in the last <750,000 years and has a slip rate of 0.2 - 1 mm/yr."
83,known_age,normal,"1:100,000","<750,000",1 - 5 mm/yr,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:100,000 scale. Geologic studies have determined that the fault has had movement in the last <750,000 years and has a slip rate of 1 - 5 mm/yr."
84,known_age,normal,"1:100,000","<750,000",unspecified,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:100,000 scale. Geologic studies have determined that the fault has had movement in the last <750,000 years and has a slip rate of unspecified."
85,known_age,normal,"1:100,000","<750,000",Undetermined,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:100,000 scale. Geologic studies have determined that the fault has had movement in the last <750,000 years and has a slip rate of Undetermined."
86,known_age,normal,"1:100,000","<750,000",>5 mm/yr,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:100,000 scale. Geologic studies have determined that the fault has had movement in the last <750,000 years and has a slip rate of >5 mm/yr."
87,undetermined_age,normal,"1:100,000",undetermined,,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:100,000 scale. Geologic studies have not determined the age or slip rate of the fault."
88,known_age,normal,"1:100,000",<150,<0.2 mm/yr,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:100,000 scale. Geologic studies have determined that the fault has had movement in the last <150 years and has a slip rate of <0.2 mm/yr."
89,known_age,normal,"1:100,000",<150,0.2 - 1 mm/yr,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:100,000 scale. Geologic studies have determined that the fault has had movement in the last <150 years and has a slip rate of 0.2 - 1 mm/yr."
90,known_age,normal,"1:100,000",<150,1 - 5 mm/yr,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:100,000 scale. Geologic studies have determined that the fault has had movement in the last <150 years and has a slip rate of 1 - 5 mm/yr."
91,known_age,normal,"1:100,000",<150,unspecified,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:100,000 scale. Geologic studies have determined that the fault has had movement in the last <150 years and has a slip rate of unspecified."
92,known_age,normal,"1:100,000",<150,Undetermined,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:100,000 scale. Geologic studies have determined that the fault has had movement in the last <150 years and has a slip rate of Undetermined."
93,known_age,normal,"1:100,000",<150,>5 mm/yr,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:100,000 scale. Geologic studies have determined that the fault has had movement in the last <150 years and has a slip rate of >5 mm/yr."
94,known_age,normal,"1:250,000","<15,000",<0.2 mm/yr,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:250,000 scale. Geologic studies have determined that the fault has had movement in the last <15,000 years and has a slip rate of <0.2 mm/yr."
95,known_age,normal,"1:250,000","<15,000",0.2 - 1 mm/yr,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:250,000 scale. Geologic studies have determined that the fault has had movement in the last <15,000 years and has a slip rate of 0.2 - 1 mm/yr."
96,known_age,normal,"1:250,000","<15,000",1 - 5 mm/yr,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:250,000 scale. Geologic studies have determined that the fault has had movement in the last <15,000 years and has a slip rate of 1 - 5 mm/yr."
97,known_age,normal,"1:250,000","<15,000",unspecified,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:250,000 scale. Geologic studies have determined that the fault has had movement in the last <15,000 years and has a slip rate of unspecified."
98,known_age,normal,"1:250,000","<15,000",Undetermined,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:250,000 scale. Geologic studies have determined that the fault has had movement in the last <15,000 years and has a slip rate of Undetermined."
99,known_age,normal,"1:250,000","<15,000",>5 mm/yr,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:250,000 scale. Geologic studies have determined that the fault has had movement in the last <15,000 years and has a slip rate of >5 mm/yr."
100,known_age,normal,"1:250,000","<2,600,000",<0.2 mm/yr,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:250,000 scale. Geologic studies have determined that the fault has had movement in the last <2,600,000 years and has a slip rate of <0.2 mm/yr."
101,known_age,normal,"1:250,000","<2,600,000",0.2 - 1 mm/yr,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:250,000 scale. Geologic studies have determined that the fault has had movement in the last <2,600,000 years and has a slip rate of 0.2 - 1 mm/yr."
102,known_age,normal,"1:250,000","<2,600,000",1 - 5 mm/yr,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:250,000 scale. Geologic studies have determined that the fault has had movement in the last <2,600,000 years and has a slip rate of 1 - 5 mm/yr."
103,known_age,normal,"1:250,000","<2,600,000",unspecified,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:250,000 scale. Geologic studies have determined that the fault has had movement in the last <2,600,000 years and has a slip rate of unspecified."
104,known_age,normal,"1:250,000","<2,600,000",Undetermined,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:250,000 scale. Geologic studies have determined that the fault has had movement in the last <2,600,000 years and has a slip rate of Undetermined."
105,known_age,normal,"1:250,000","<2,600,000",>5 mm/yr,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:250,000 scale. Geologic studies have determined that the fault has had movement in the last <2,600,000 years and has a slip rate of >5 mm/yr."
106,known_age,normal,"1:250,000","<130,000",<0.2 mm/yr,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:250,000 scale. Geologic studies have determined that the fault has had movement in the last <130,000 years and has a slip rate of <0.2 mm/yr."
107,known_age,normal,"1:250,000","<130,000",0.2 - 1 mm/yr,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:250,000 scale. Geologic studies have determined that the fault has had movement in the last <130,000 years and has a slip rate of 0.2 - 1 mm/yr."
108,known_age,normal,"1:250,000","<130,000",1 - 5 mm/yr,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:250,000 scale. Geologic studies have determined that the fault has had movement in the last <130,000 years and has a slip rate of 1 - 5 mm/yr."
109,known_age,normal,"1:250,000","<130,000",unspecified,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:250,000 scale. Geologic studies have determined that the fault has had movement in the last <130,000 years and has a slip rate of unspecified."
110,known_age,normal,"1:250,000","<130,000",Undetermined,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:250,000 scale. Geologic studies have determined that the fault has had movement in the last <130,000 years and has a slip rate of Undetermined."
111,known_age,normal,"1:250,000","<130,000",>5 mm/yr,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:250,000 scale. Geologic studies have determined that the fault has had movement in the last <130,000 years and has a slip rate of >5 mm/yr."
112,known_age,normal,"1:250,000","<750,000",<0.2 mm/yr,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:250,000 scale. Geologic studies have determined that the fault has had movement in the last <750,000 years and has a slip rate of <0.2 mm/yr."
113,known_age,normal,"1:250,000","<750,000",0.2 - 1 mm/yr,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:250,000 scale. Geologic studies have determined that the fault has had movement in the last <750,000 years and has a slip rate of 0.2 - 1 mm/yr."
114,known_age,normal,"1:250,000","<750,000",1 - 5 mm/yr,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:250,000 scale. Geologic studies have determined that the fault has had movement in the last <750,000 years and has a slip rate of 1 - 5 mm/yr."
115,known_age,normal,"1:250,000","<750,000",unspecified,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:250,000 scale. Geologic studies have determined that the fault has had movement in the last <750,000 years and has a slip rate of unspecified."
116,known_age,normal,"1:250,000","<750,000",Undetermined,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:250,000 scale. Geologic studies have determined that the fault has had movement in the last <750,000 years and has a slip rate of Undetermined."
